Seq. ID.	Class	AMP Probability
RDKIT_SHAPRULEMATCH_00264	AMP	0.98
RDKIT_SHAPRULEMATCH_00265	AMP	0.98
RDKIT_SHAPRULEMATCH_00266	AMP	0.97
RDKIT_SHAPRULEMATCH_00267	AMP	0.99
RDKIT_SHAPRULEMATCH_00268	AMP	0.97
RDKIT_SHAPRULEMATCH_00269	AMP	0.94
RDKIT_SHAPRULEMATCH_00270	AMP	0.98
RDKIT_SHAPRULEMATCH_00271	AMP	1.00
RDKIT_SHAPRULEMATCH_00272	AMP	0.99
RDKIT_SHAPRULEMATCH_00273	AMP	0.98
RDKIT_SHAPRULEMATCH_00274	AMP	1.00
RDKIT_SHAPRULEMATCH_00275	AMP	0.99
RDKIT_SHAPRULEMATCH_00276	AMP	0.96
RDKIT_SHAPRULEMATCH_00277	AMP	0.99
RDKIT_SHAPRULEMATCH_00278	AMP	0.97
RDKIT_SHAPRULEMATCH_00279	AMP	0.99
RDKIT_SHAPRULEMATCH_00280	AMP	0.94
RDKIT_SHAPRULEMATCH_00281	AMP	0.96
RDKIT_SHAPRULEMATCH_00282	AMP	0.98
RDKIT_SHAPRULEMATCH_00283	AMP	0.99
RDKIT_SHAPRULEMATCH_00284	AMP	0.99
RDKIT_SHAPRULEMATCH_00285	AMP	0.99
RDKIT_SHAPRULEMATCH_00286	AMP	0.97
RDKIT_SHAPRULEMATCH_00287	AMP	0.99
RDKIT_SHAPRULEMATCH_00288	AMP	0.99
RDKIT_SHAPRULEMATCH_00289	AMP	0.99
RDKIT_SHAPRULEMATCH_00290	AMP	0.99
RDKIT_SHAPRULEMATCH_00291	AMP	0.97
RDKIT_SHAPRULEMATCH_00292	AMP	0.96
RDKIT_SHAPRULEMATCH_00293	AMP	0.97
RDKIT_SHAPRULEMATCH_00294	AMP	0.99
RDKIT_SHAPRULEMATCH_00295	AMP	0.97
RDKIT_SHAPRULEMATCH_00296	AMP	0.99
RDKIT_SHAPRULEMATCH_00297	AMP	0.99
RDKIT_SHAPRULEMATCH_00298	AMP	0.99
RDKIT_SHAPRULEMATCH_00299	AMP	1.00
RDKIT_SHAPRULEMATCH_00300	AMP	0.99
RDKIT_SHAPRULEMATCH_00301	AMP	0.99
RDKIT_SHAPRULEMATCH_00302	AMP	0.99
RDKIT_SHAPRULEMATCH_00303	AMP	1.00
RDKIT_SHAPRULEMATCH_00304	AMP	0.98
RDKIT_SHAPRULEMATCH_00305	AMP	0.99
RDKIT_SHAPRULEMATCH_00306	AMP	0.99
RDKIT_SHAPRULEMATCH_00307	AMP	0.99
RDKIT_SHAPRULEMATCH_00308	AMP	1.00
RDKIT_SHAPRULEMATCH_00309	AMP	0.99
RDKIT_SHAPRULEMATCH_00310	AMP	0.99
RDKIT_SHAPRULEMATCH_00311	AMP	0.97
RDKIT_SHAPRULEMATCH_00312	AMP	0.98
RDKIT_SHAPRULEMATCH_00313	AMP	0.99
RDKIT_SHAPRULEMATCH_00314	AMP	0.99
RDKIT_SHAPRULEMATCH_00315	AMP	0.98
RDKIT_SHAPRULEMATCH_00316	AMP	0.97
RDKIT_SHAPRULEMATCH_00317	AMP	0.99
RDKIT_SHAPRULEMATCH_00318	AMP	0.98
RDKIT_SHAPRULEMATCH_00319	AMP	0.99
RDKIT_SHAPRULEMATCH_00320	AMP	0.99
RDKIT_SHAPRULEMATCH_00321	AMP	0.99
RDKIT_SHAPRULEMATCH_00322	AMP	0.95
RDKIT_SHAPRULEMATCH_00323	AMP	0.98
RDKIT_SHAPRULEMATCH_00324	AMP	1.00
RDKIT_SHAPRULEMATCH_00325	AMP	0.99
RDKIT_SHAPRULEMATCH_00326	AMP	0.97
RDKIT_SHAPRULEMATCH_00327	AMP	0.99
RDKIT_SHAPRULEMATCH_00328	AMP	0.99
RDKIT_SHAPRULEMATCH_00329	AMP	0.99
RDKIT_SHAPRULEMATCH_00330	AMP	0.99
RDKIT_SHAPRULEMATCH_00331	AMP	0.98
RDKIT_SHAPRULEMATCH_00332	AMP	0.98
RDKIT_SHAPRULEMATCH_00333	AMP	0.97
RDKIT_SHAPRULEMATCH_00334	AMP	1.00
RDKIT_SHAPRULEMATCH_00335	AMP	0.99
RDKIT_SHAPRULEMATCH_00336	AMP	0.99
RDKIT_SHAPRULEMATCH_00337	AMP	0.99
RDKIT_SHAPRULEMATCH_00338	AMP	1.00
RDKIT_SHAPRULEMATCH_00339	AMP	0.98
RDKIT_SHAPRULEMATCH_00340	AMP	0.99
RDKIT_SHAPRULEMATCH_00341	AMP	1.00
RDKIT_SHAPRULEMATCH_00342	AMP	0.96
RDKIT_SHAPRULEMATCH_00343	AMP	0.99
RDKIT_SHAPRULEMATCH_00344	AMP	0.99
RDKIT_SHAPRULEMATCH_00345	AMP	1.00
RDKIT_SHAPRULEMATCH_00346	AMP	0.99
RDKIT_SHAPRULEMATCH_00347	AMP	0.98
RDKIT_SHAPRULEMATCH_00348	AMP	0.94
RDKIT_SHAPRULEMATCH_00349	AMP	0.99
RDKIT_SHAPRULEMATCH_00350	AMP	0.96
RDKIT_SHAPRULEMATCH_00351	AMP	0.99
